COSEWIC common name,COSEWIC population,cosewic_match,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
European Whitefish,Squanga Lake small-bodied population,European Whitefish (Squanga Lake small-bodied population),Threatened,2018-04-27,Coregonus lavaretus,European Whitefish,Squanga Lake small-bodied population,,,No schedule,,Yukon,Fishes (freshwater),Addition,Pending
Evening Fieldslug,,Evening Fieldslug,Data Deficient,2003-11-01,Deroceras hesperium,,,No Status,,No schedule,,British Columbia,Molluscs,,
Evening Grosbeak,,Evening Grosbeak,Special Concern,2016-11-27,Coccothraustes vespertinus,Evening Grosbeak,,Special Concern,2019-05-22,Schedule 1,2019-05-22,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,Added to list
False Hop Sedge,,False Hop Sedge,Endangered,2011-11-25,Carex lupuliformis,False Hop Sedge,,Endangered,2003-06-05,Schedule 1,2003-06-05,"Ontario, Quebec",Vascular Plants,,Added to list
False Killer Whale,,False Killer Whale,Not at Risk,1990-04-01,Pseudorca crassidens,,,No Status,,No schedule,,Pacific Ocean,Mammals (marine),,
False Mermaid,,False Mermaid,Not at Risk,1984-04-01,Floerkea proserpinacoides,,,No Status,,No schedule,,"Nova Scotia, Ontario, Quebec",Vascular Plants,,
Eastern False Rue-anemone,,Eastern False Rue-anemone,Special Concern,2022-05-11,Enemion biternatum,False Rue-anemone,,Threatened,,Schedule 1,2006-08-15,Ontario,Vascular Plants,Status change,Pending
False-foxglove Sun Moth,,False-foxglove Sun Moth,Endangered,2018-04-27,Pyrrhia aurantiago,False-foxglove Sun Moth,,Endangered,2021-04-23,Schedule 1,2021-04-23,Ontario,Arthropods,,Added to list
Fameflower,,Fameflower,Not at Risk,1990-04-01,Talinum sediforme,,,No Status,,No schedule,,British Columbia,Vascular Plants,,
Fascicled Ironweed,,Fascicled Ironweed,Endangered,2014-11-28,Vernonia fasciculata,Fascicled Ironweed,,Endangered,2019-02-25,Schedule 1,2019-02-25,Manitoba,Vascular Plants,,Added to list
Fawnsfoot,,Fawnsfoot,Endangered,2008-04-25,Truncilla donaciformis,Fawnsfoot,,Endangered,2019-08-08,Schedule 1,2019-08-08,Ontario,Molluscs,,Added to list
Fern-leaved Yellow False Foxglove,,Fern-leaved Yellow False Foxglove,Threatened,2018-04-27,Aureolaria pedicularia,Fern-leaved Yellow False Foxglove,,Threatened,2023-02-03,Schedule 1,2023-02-03,Ontario,Vascular Plants,,Added to list
Fernald's Braya,,Fernald's Braya,Endangered,2012-11-25,Braya fernaldii,Fernald's Braya,,Endangered,2018-02-02,Schedule 1,2003-06-05,Newfoundland and Labrador,Vascular Plants,,Uplisted: Threatened to endangered
Fernald's Milk-vetch,,Fernald's Milk-vetch,Special Concern,2001-11-01,Astragalus robbinsii var. fernaldii,Fernald's Milk-vetch,,Special Concern,2003-06-05,Schedule 1,2003-06-05,"Newfoundland and Labrador, Quebec",Vascular Plants,,Added to list
Ferruginous Hawk,,Ferruginous Hawk,Special Concern,2021-05-05,Buteo regalis,Ferruginous Hawk,,Threatened,,Schedule 1,2010-02-23,"Alberta, Manitoba, Saskatchewan",Birds,Status change,Pending
Fin Whale,,Fin Whale,Non-active,2005-05-05,Balaenoptera physalus,Fin Whale,,,,,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Fin Whale,Atlantic population,Fin Whale (Atlantic population),Special Concern,2019-05-03,Balaenoptera physalus,Fin Whale,Atlantic population,Special Concern,2006-08-15,Schedule 1,2006-08-15,Atlantic Ocean,Mammals (marine),,Added to list
Fin Whale,Pacific population,Fin Whale (Pacific population),Special Concern,2019-05-03,Balaenoptera physalus,Fin Whale,Pacific population,Threatened,,Schedule 1,2006-08-15,Pacific Ocean,Mammals (marine),Status change,Pending
Finlayson’s Oakworm Moth,,Finlayson’s Oakworm Moth,Special Concern,2023-12-01,Anisota finlaysoni,Finlayson’s Oakworm Moth,,No Status,,No schedule,,Ontario,Arthropods,Addition,Pending
Five-lined Skink,,Five-lined Skink,Non-active,2007-04-22,Plestiodon fasciatus,Five-lined Skink,,,,,,Ontario,Reptiles,,
Common Five-lined Skink,Carolinian population,Common Five-lined Skink (Carolinian population),Endangered,2021-05-05,Plestiodon fasciatus,Five-lined Skink,Carolinian population,Endangered,2009-03-05,Schedule 1,2009-03-05,Ontario,Reptiles,,Added to list
Common Five-lined Skink,Great Lakes / St. Lawrence population,Common Five-lined Skink (Great Lakes / St. Lawrence population),Special Concern,2021-05-05,Plestiodon fasciatus,Five-lined Skink,Great Lakes / St. Lawrence population,Special Concern,2009-03-05,Schedule 1,2009-03-05,Ontario,Reptiles,,Added to list
Five-spotted Bogus Yucca Moth,,Five-spotted Bogus Yucca Moth,Endangered,2013-05-03,Prodoxus quinquepunctellus,Five-spotted Bogus Yucca Moth,,Endangered,2007-12-13,Schedule 1,2007-12-13,Alberta,Arthropods,,Added to list
Flammulated Owl,,Flammulated Owl,Special Concern,2010-04-25,Otus flammeolus,Flammulated Owl,,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Birds,,Added to list
Flathead Catfish,,Flathead Catfish,Data Deficient,2008-04-25,Pylodictis olivaris,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Flexuous Golden Stubble Lichen,,Flexuous Golden Stubble Lichen,Data Deficient,2002-11-01,Chaenotheca servitii,,,No Status,,No schedule,,Nova Scotia,Lichens,,
Floccose Tansy,,Floccose Tansy,Special Concern,2018-04-27,Tanacetum huronense var. floccosum,Floccose Tansy,,Special Concern,2003-06-05,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Vascular Plants,,Added to list
Flooded Jellyskin,,Flooded Jellyskin,Special Concern,2015-11-26,Leptogium rivulare,Flooded Jellyskin,,Special Concern,2019-02-25,Schedule 1,2005-07-14,"Manitoba, Ontario, Quebec",Lichens,,Downlisted: Threatened to special concern
Foothill Sedge,,Foothill Sedge,Special Concern,2022-12-03,Carex tumulicola,Foothill Sedge,,Endangered,,Schedule 1,2010-02-23,British Columbia,Vascular Plants,Status change,Pending
Forked Bluecurls,,Forked Bluecurls,Threatened,2023-12-01,Trichostema dichotomum,Forked Bluecurls,,No Status,,No schedule,,"Nova Scotia, Ontario, Quebec",Vascular Plants,Addition,Pending
Forked Three-awned Grass,,Forked Three-awned Grass,Endangered,2002-11-01,Aristida basiramea,Forked Three-awned Grass,,Endangered,2005-01-12,Schedule 1,2005-01-12,"Ontario, Quebec",Vascular Plants,,Added to list
Forster's Tern,,Forster's Tern,Data Deficient,1996-04-01,Sterna forsteri,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan",Birds,,
Four-leaved Milkweed,,Four-leaved Milkweed,Endangered,2010-04-25,Asclepias quadrifolia,Four-leaved Milkweed,,No Status,2012-07-04,No schedule,,Ontario,Vascular Plants,,Not to list
Four-toed Salamander,,Four-toed Salamander,Not at Risk,1999-04-01,Hemidactylium scutatum,,,No Status,,No schedule,,"New Brunswick, Nova Scotia, Ontario, Quebec",Amphibians,,
Fourhorn Sculpin,Freshwater form,Fourhorn Sculpin (Freshwater form),Data Deficient,2003-11-01,Myoxocephalus quadricornis,Fourhorn Sculpin,Freshwater form,,,,,"Newfoundland and Labrador, Northwest Territories, Nunavut",Fishes (freshwater),,
Fourhorn Sculpin,Salt water form,Fourhorn Sculpin (Salt water form),Not at Risk,1989-04-01,Myoxocephalus quadricornis,,,No Status,,No schedule,,"Arctic Ocean, Atlantic Ocean, Pacific Ocean",Fishes (freshwater),,
Fowler's Toad,,Fowler's Toad,Endangered,2010-04-25,Anaxyrus fowleri,Fowler's Toad,,Endangered,2012-06-20,Schedule 1,2003-06-05,Ontario,Amphibians,,Uplisted: Threatened to endangered
Fox Squirrel,,Fox Squirrel,Not at Risk,1979-04-01,Sciurus niger,,,No Status,,No schedule,,"Manitoba, Ontario",Mammals (terrestrial),,
Fragrant Popcornflower,,Fragrant Popcornflower,Endangered,2008-04-25,Plagiobothrys figuratus,Fragrant Popcornflower,,Endangered,2010-02-23,Schedule 1,2010-02-23,British Columbia,Vascular Plants,,Added to list
Fringed Bat,,Fringed Bat,Data Deficient,2004-05-01,Myotis thysanodes,Fringed Bat,,,,,,British Columbia,Mammals (terrestrial),,
Frosted Elfin,,Frosted Elfin,Extirpated,2019-05-03,Callophrys irus,Frosted Elfin,,Extirpated,2003-06-05,Schedule 1,2003-06-05,Ontario,Arthropods,,Added to list
Frosted Glass-whiskers,Atlantic population,Frosted Glass-whiskers (Atlantic population),Special Concern,2014-11-28,Sclerophora peronella,Frosted Glass-whiskers,Atlantic population,Special Concern,2006-08-15,Schedule 1,2006-08-15,Nova Scotia,Lichens,,Added to list
Frosted Glass-whiskers,Pacific population,Frosted Glass-whiskers (Pacific population),Data Deficient,2014-11-28,Sclerophora peronella,,,No Status,,No schedule,,British Columbia,Lichens,,
Furbish's Lousewort,,Furbish's Lousewort,Endangered,2011-05-06,Pedicularis furbishiae,Furbish's Lousewort,,Endangered,2003-06-05,Schedule 1,2003-06-05,New Brunswick,Vascular Plants,,Added to list
Gaspé Shrew,,Gaspé Shrew,Not at Risk,2006-04-29,Sorex gaspensis,Gaspé Shrew,,,,,,"New Brunswick, Nova Scotia, Quebec",Mammals (terrestrial),,
Gatineau Tadpole Snail,,Gatineau Tadpole Snail,Data Deficient,1997-04-01,Physella parkeri latchfordi,,,No Status,,No schedule,,Quebec,Molluscs,,
Gattinger's Agalinis,,Gattinger's Agalinis,Endangered,2001-05-01,Agalinis gattingeri,Gattinger's Agalinis,,Endangered,2003-06-05,Schedule 1,2003-06-05,"Manitoba, Ontario",Vascular Plants,,Added to list
Georgia Basin Bog Spider,,Georgia Basin Bog Spider,Special Concern,2012-11-25,Gnaphosa snohomish,Georgia Basin Bog Spider,,Special Concern,2018-02-02,Schedule 1,2018-02-02,British Columbia,Arthropods,,Added to list
Ghost Antler Lichen,,Ghost Antler Lichen,Not at Risk,2011-11-25,Pseudevernia cladonia,Ghost Antler Lichen,,No Status,2007-12-13,No schedule,,"New Brunswick, Nova Scotia, Quebec",Lichens,,Refer back
Ghost Shiner,,Ghost Shiner,Not at Risk,1993-04-01,Notropis buchanani,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Giant Helleborine,,Giant Helleborine,Not at Risk,2015-11-26,Epipactis gigantea,Giant Helleborine,,,,,,British Columbia,Vascular Plants,,
Giant Threespine Stickleback,,Giant Threespine Stickleback,Special Concern,2023-12-01,Gasterosteus aculeatus,Giant Threespine Stickleback,,Special Concern,2019-08-08,Schedule 1,2019-08-08,British Columbia,Fishes (freshwater),,Added to list
Gibson's Big Sand Tiger Beetle,,Gibson's Big Sand Tiger Beetle,Threatened,2012-11-25,Cicindela formosa gibsoni,Gibson's Big Sand Tiger Beetle,,Threatened,2018-02-02,Schedule 1,2018-02-02,"Alberta, Saskatchewan",Arthropods,,Added to list
Gillman's Goldenrod,,Gillman's Goldenrod,Endangered,2019-11-29,Solidago gillmanii,Gillman's Goldenrod,,No Status,,No schedule,,Ontario,Vascular Plants,Addition,Pending
Gold-edged Gem,,Gold-edged Gem,Endangered,2016-11-27,Schinia avemensis,Gold-edged Gem,,Endangered,2007-12-13,Schedule 1,2007-12-13,"Alberta, Manitoba, Saskatchewan",Arthropods,,Added to list
Golden Eagle,,Golden Eagle,Not at Risk,1996-04-01,Aquila chrysaetos,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",Birds,,
Golden Paintbrush,,Golden Paintbrush,Endangered,2007-11-30,Castilleja levisecta,Golden Paintbrush,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Added to list
Golden Redhorse,,Golden Redhorse,Not at Risk,1989-04-01,Moxostoma erythrurum,,,No Status,,No schedule,,"Manitoba, Ontario",Fishes (freshwater),,
Golden-eye Lichen,Great Lakes population,Golden-eye Lichen (Great Lakes population),Endangered,2016-11-27,Teloschistes chrysophthalmus,Golden-eye Lichen,Great Lakes population,Endangered,2021-08-12,Schedule 1,2021-08-12,Ontario,Lichens,,Added to list
Golden-eye Lichen,Prairie / Boreal population,Golden-eye Lichen (Prairie / Boreal population),Special Concern,2016-11-27,Teloschistes chrysophthalmus,Golden-eye Lichen,Prairie / Boreal population,Special Concern,2021-08-12,Schedule 1,2021-08-12,"Manitoba, Ontario",Lichens,,Added to list
Golden-winged Warbler,,Golden-winged Warbler,Threatened,2006-04-29,Vermivora chrysoptera,Golden-winged Warbler,,Threatened,2007-12-13,Schedule 1,2007-12-13,"Manitoba, Ontario, Quebec",Birds,,Added to list
Goldencrest,,Goldencrest,Special Concern,2012-05-04,Lophiola aurea,Goldencrest,,Special Concern,2017-06-02,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,,Downlisted: Threatened to special concern
Goldenseal,,Goldenseal,Special Concern,2019-05-03,Hydrastis canadensis,Goldenseal,,Special Concern,2023-02-03,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Downlisted: Threatened to special concern
Grand Coulee Owl-clover,,Grand Coulee Owl-clover,Endangered,2005-05-05,Orthocarpus barbatus,Grand Coulee Owl-clover,,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Vascular Plants,,Added to list
Grappletail,,Grappletail,Special Concern,2021-05-05,Octogomphus specularis,Grappletail,,No Status,,No schedule,,British Columbia,Arthropods,Addition,Pending
Grass Pickerel,,Grass Pickerel,Special Concern,2014-11-28,Esox americanus vermiculatus,Grass Pickerel,,Special Concern,2006-08-15,Schedule 1,2006-08-15,"Ontario, Quebec",Fishes (freshwater),,Added to list
"Grasshopper Sparrow, pratensis subspecies",,"Grasshopper Sparrow, pratensis subspecies",Special Concern,2013-11-01,Ammodramus savannarum pratensis,"Grasshopper Sparrow, pratensis subspecies",,Special Concern,2017-11-02,Schedule 1,2017-11-02,"Ontario, Quebec",Birds,,Added to list
Gravel Chub,,Gravel Chub,Extirpated,2019-05-03,Erimystax x-punctatus,Gravel Chub,,Extirpated,2003-06-05,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),,Added to list
Gray Ratsnake,,Gray Ratsnake,Non-active,2007-04-22,Pantherophis spiloides,Gray Ratsnake,,No Status,2009-03-05,No schedule,2003-06-05,Ontario,Reptiles,,Struck - WS reassignment
Gray Ratsnake,Carolinian population,Gray Ratsnake (Carolinian population),Endangered,2018-04-27,Pantherophis spiloides,Gray Ratsnake,Carolinian population,Endangered,2009-03-05,Schedule 1,2003-06-05,Ontario,Reptiles,,Uplisted
Gray Ratsnake,Great Lakes / St. Lawrence population,Gray Ratsnake (Great Lakes / St. Lawrence population),Threatened,2018-04-27,Pantherophis spiloides,Gray Ratsnake,Great Lakes / St. Lawrence population,Threatened,,Schedule 1,2003-06-05,Ontario,Reptiles,,
Gray's Desert-parsley,,Gray's Desert-parsley,Threatened,2008-11-28,Lomatium grayi,Gray's Desert-parsley,,Threatened,2011-02-04,Schedule 1,2011-02-04,British Columbia,Vascular Plants,,Added to list
Gray-cheeked Thrush minimus subspecies,,Gray-cheeked Thrush minimus subspecies,Threatened,2023-12-01,Catharus minimus minimus,Gray-cheeked Thrush minimus subspecies,,No Status,,No schedule,,"Newfoundland and Labrador, Nova Scotia, Quebec",Birds,Addition,Pending
Great Auk,,Great Auk,Extinct,2000-05-01,Pinguinus impennis,,,No Status,,No schedule,,"New Brunswick, Newfoundland and Labrador, Nova Scotia, Quebec",Birds,,
Great Basin Gophersnake,,Great Basin Gophersnake,Threatened,2013-05-03,Pituophis catenifer deserticola,Great Basin Gophersnake,,Threatened,2005-01-12,Schedule 1,2005-01-12,British Columbia,Reptiles,,Added to list
Great Basin Spadefoot,,Great Basin Spadefoot,Threatened,2019-11-29,Spea intermontana,Great Basin Spadefoot,,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Amphibians,,Added to list
Great Blue Heron fannini subspecies,,Great Blue Heron fannini subspecies,Non-active,2022-12-03,Ardea herodias fannini,Great Blue Heron fannini subspecies,,Special Concern,2010-02-23,Schedule 1,2010-02-23,British Columbia,Birds,,Added to list
Great Grey Owl,,Great Grey Owl,Not at Risk,1996-04-01,Strix nebulosa,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, Northwest Territories, Ontario, Quebec, Saskatchewan, Yukon",Birds,,
Great Plains Toad,,Great Plains Toad,Special Concern,2023-05-05,Anaxyrus cognatus,Great Plains Toad,,Special Concern,2005-01-12,Schedule 1,2005-01-12,"Alberta, Manitoba, Saskatchewan",Amphibians,,Added to list
Greater Prairie-Chicken,,Greater Prairie-Chicken,Extirpated,2021-12-01,Tympanuchus cupido pinnatus,Greater Prairie-Chicken,,Extirpated,2003-06-05,Schedule 1,2003-06-05,"Alberta, Manitoba, Ontario, Saskatchewan",Birds,,Added to list
Greater Sage-Grouse phaios subspecies,,Greater Sage-Grouse phaios subspecies,Extirpated,2021-12-01,Centrocercus urophasianus phaios,Greater Sage-Grouse phaios subspecies,,Extirpated,2003-06-05,Schedule 1,2003-06-05,British Columbia,Birds,,Added to list
Greater Sage-Grouse urophasianus subspecies,,Greater Sage-Grouse urophasianus subspecies,Endangered,2021-12-01,Centrocercus urophasianus urophasianus,Greater Sage-Grouse urophasianus subspecies,,Endangered,2003-06-05,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Birds,,Added to list
Greater Short-horned Lizard,,Greater Short-horned Lizard,Special Concern,2018-11-01,Phrynosoma hernandesi,Greater Short-horned Lizard,,Special Concern,2023-02-03,Schedule 1,2009-03-05,"Alberta, Saskatchewan",Reptiles,,Downlisted: Endangered to special concern
Green Dragon,,Green Dragon,Special Concern,1984-04-01,Arisaema dracontium,Green Dragon,,,,,,"Ontario, Quebec",Vascular Plants,,
Green Sturgeon,,Green Sturgeon,Special Concern,2013-11-01,Acipenser medirostris,Green Sturgeon,,Special Concern,2006-08-15,Schedule 1,2006-08-15,"British Columbia, Pacific Ocean",Fishes (freshwater),,Added to list
Green Sunfish,,Green Sunfish,Not at Risk,1987-04-01,Lepomis cyanellus,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Green-scaled Willow,,Green-scaled Willow,Threatened,2020-11-04,Salix chlorolepis,Green-scaled Willow,,Threatened,2007-12-13,Schedule 1,2007-12-13,Quebec,Vascular Plants,,Added to list
Greenish-white Grasshopper,,Greenish-white Grasshopper,Special Concern,2012-11-25,Hypochlora alba,Greenish-white Grasshopper,,Special Concern,2018-02-02,Schedule 1,2018-02-02,"Alberta, Manitoba, Saskatchewan",Arthropods,,Added to list
Greenside Darter,,Greenside Darter,Not at Risk,2006-11-24,Etheostoma blennioides,Greenside Darter,,,,,,Ontario,Fishes (freshwater),,
Grey Flycatcher,,Grey Flycatcher,Not at Risk,1992-04-01,Empidonax wrightii,,,No Status,,No schedule,,British Columbia,Birds,,
Gray Fox,,Gray Fox,Threatened,2015-11-26,Urocyon cinereoargenteus,Grey Fox,,Threatened,2005-01-12,Schedule 1,2005-01-12,Ontario,Mammals (terrestrial),,Added to list
Grey Seal,,Grey Seal,Not at Risk,1999-04-01,Halichoerus grypus,,,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Quebec",Mammals (marine),,
Grey Whale,Atlantic population,Grey Whale (Atlantic population),Extinct,2022-05-11,Eschrichtius robustus,Grey Whale,Atlantic population,Extirpated,2003-06-05,Schedule 1,2003-06-05,Atlantic Ocean,Mammals (marine),,Added to list
